8444 28213
2469 6095 -730
6310 1695 928
1025 5477 2
5309 867 684
1904 6879 792
7217 6745 -165
2554 4384 -396
4921 2853 -27
6231 89 -860
2814 5694 -754
2615 7865 462
2195 5322 -607
4714 5724 43
8360 5934 -888
3454 716 30
3700 3844 561
2273 8235 -641
300 172 -106
595 2101 -21
665 7492 -476
4359 5471 -699
7812 5493 105
883 4778 441
2347 4592 745
5884 7953 -998
4545 7221 253
3994 7492 -267
7907 8144 -750
1814 4899 254
1043 712 323
1167 5026 -853
2130 3626 156
5721 227 -907
1800 3896 -666
6324 1663 487
448 58 -863
7904 8429 263
1775 6945 409
4979 4796 -674
6154 4740 -929
1058 5040 880
233 9 -422
6174 2723 376
4413 5714 -146
5939 4942 644
5014 4060 20
8167 2717 608
6648 8155 887
5095 6867 -321
393 1893 -420
5228 877 -240
1105 745 -442
2561 2951 65
5530 5385 -771
4048 5393 380
772 8423 747
4097 18 -247
5127 8065 40
6520 4786 -411
3192 6621 887
3905 6260 17
8131 2068 504
3427 4941 881
7398 4895 -560
4905 1887 -185
7482 1148 880
5725 5853 671
360 2836 710
4963 1732 -523
1302 5387 -625
7698 5506 -145
7022 55 863
931 2097 -785
3077 5566 147
3769 5544 -221
7229 3467 511
6971 7123 -854
5845 6622 76
2522 2783 705
1903 8005 632
4172 6421 -163
76 320 -713
4612 5433 957
2948 4090 -224
523 7622 -859
7516 4613 968
5160 4405 -533
3627 522 759
7843 2009 91
2413 2096 932
3508 1098 203
2020 81 -473
5298 1206 321
1894 4918 -789
5459 4629 583
115 7858 2
7278 5085 -469
8126 6871 -88
2989 5435 299
7587 1846 843
5564 7918 452
2749 6211 -967
4008 3504 295
7626 7558 -161
1197 5940 -862
8428 5152 -970
701 3833 -318
5089 1672 396
3783 4191 -608
705 1121 -465
7683 4970 743
5819 1632 -828
3365 4903 -633
6642 516 418
3635 2327 -375
3503 6083 753
7841 4228 -254
2577 4189 454
498 7964 -613
7592 7941 325
4113 5502 411
2119 7884 -986
5414 6762 -474
5122 5460 443
3377 5493 -620
6028 1064 724
2733 2056 -614
1379 7130 539
370 3938 723
5457 4314 -353
7263 7175 -54
3544 599 310
5517 5828 237
5974 7608 333
5748 862 -321
1468 6391 881
3523 454 7
921 4903 715
6435 1875 -877
5772 7755 703
4409 8429 -403
2992 885 930
3548 6879 -713
2790 5909 943
7553 3668 -392
637 257 -767
7479 7336 -737
4868 84 -851
8115 3742 311
1517 3306 834
2103 7480 -340
7221 4736 356
1650 5809 -119
7245 3434 -406
3783 8081 903
951 3711 715
5113 7556 -373
6790 8099 568
161 1396 745
2417 4010 963
6881 6743 180
1598 4472 -204
5045 4760 74
723 1177 880
4587 6249 763
8127 6240 -944
7254 7991 -715
6407 2818 -57
5588 3783 -765
5381 2747 -749
2364 3895 85
2576 4164 -778
3573 6715 -978
2966 2467 319
5042 2845 945
4357 4822 513
4687 5467 447
7447 622 -590
1440 7883 -457
385 2583 -904
2058 403 -746
3263 4019 491
3225 7548 614
6162 1045 525
2294 6430 -122
5347 1405 -134
1030 2996 864
939 4773 -247
1679 1682 -225
541 1433 -519
7222 1652 501
3986 6403 -735
5052 6477 944
7643 4251 143
2150 6208 431
1540 1183 -295
4419 4614 -786
6134 6428 218
3395 913 184
804 2154 71
3710 445 -129
3130 5944 -188
7929 2243 -363
5869 7272 791
443 404 -860
299 701 744
1719 4346 536
3186 7467 690
3727 4963 117
2798 5142 105
6114 8203 -692
7669 2628 -478
1549 4491 150
155 2922 596
1187 318 -736
7297 3822 -777
4548 8241 -868
3996 7555 266
371 7266 -295
2792 5652 -311
4746 8175 990
3507 3407 -954
5308 585 520
1259 1485 261
7871 828 666
3987 3998 -140
4357 3740 350
4518 216 952
7181 2761 -168
4023 646 -86
3582 6252 334
5530 5199 866
7213 197 216
7420 1184 178
5006 5478 -173
1596 4081 -279
5335 7021 846
4407 6567 246
4574 1532 -481
6997 6149 852
878 4932 573
722 8058 -760
1098 3350 -250
4766 689 786
3671 2181 -608
1771 352 -382
6459 4783 -354
5819 7864 -313
4815 3878 904
7245 6372 149
4668 6461 594
4020 1223 179
437 8251 287
4317 6713 -985
1493 669 -278
2708 4127 252
4915 4959 -640
1939 2200 -912
4789 6361 -739
1066 6350 737
1920 104 -837
6425 7525 119
6538 427 -644
1180 5731 -416
6403 7099 -277
5522 7986 923
2736 1427 45
1961 2710 378
4078 7308 87
7921 5867 25
7310 5840 981
1202 3697 -306
7777 6702 984
4135 6696 -171
3689 2623 -183
4305 7737 49
5335 8316 -470
1501 3393 860
2068 2715 760
10 1592 -752
159 7561 -85
8194 2413 627
7299 3889 137
7358 7381 559
1621 4756 50
5658 7377 266
5003 2675 293
4101 4178 428
3226 1855 -708
3854 916 7
5490 3050 -899
3693 8322 -74
2969 1370 57
2783 1579 288
1851 5598 -504
6865 3808 -661
2284 2697 604
6034 8032 43
2063 8241 257
3086 751 898
184 5010 -76
1044 7253 172
775 734 -984
3544 7331 296
908 3329 -9
6021 6118 66
8155 305 957
1118 586 722
3340 4398 -68
5633 3135 906
6225 2199 107
296 1063 293
5640 8112 423
3150 2352 254
4134 7636 875
5875 7232 477
1943 5722 -497
7262 794 694
2118 800 1000
446 308 883
6397 7736 -813
5479 3215 -506
8366 5608 -404
3535 7280 -468
1586 3283 -680
1706 6504 895
3030 1466 575
3656 3982 872
8381 1334 578
4428 5435 939
5347 416 -204
5696 2805 -46
5984 1200 -942
2507 4703 -42
5799 3478 -814
4490 7502 -253
4625 1387 141
6330 2273 69
4321 3296 930
744 7224 -834
8189 5428 -354
3412 1418 386
8228 6839 68
8237 4915 -736
90 2048 795
2720 6399 -285
753 4617 25
2626 926 2
6161 4242 -467
338 3929 -619
4560 1674 968
537 479 549
3257 282 -325
4313 1568 147
1113 6124 -527
3077 5745 183
7746 2150 -112
4672 4729 -381
4713 6002 -17
4058 5467 119
7923 1936 137
2573 8179 350
2690 1053 -38
6001 6439 -179
949 7777 -105
1874 1106 -670
711 8423 622
7464 2404 602
3093 3287 319
3132 3081 131
8084 5692 443
7972 5177 -842
3942 7721 441
3147 5091 965
5417 1413 390
5391 3255 492
6963 831 -961
3734 5221 187
8226 5932 -742
5918 392 -739
1402 3691 87
3392 6038 189
561 6850 363
6032 6620 -734
5542 3336 425
3101 2359 120
2808 1764 467
8023 3400 -390
1979 7337 779
3951 6104 84
7453 4610 -79
451 6666 -692
3555 4103 -26
6931 310 -597
144 4601 -181
2390 24 -195
3656 7795 673
801 2708 804
7824 1770 366
5111 1560 -926
7645 2242 -945
8216 948 -30
3395 2257 -942
7877 5762 -986
6708 5191 -202
6589 2519 720
7713 5074 368
1880 3138 22
5754 1655 -495
7719 41 -885
1319 2185 -644
8354 3934 -828
7363 1421 843
1620 3644 424
6623 6257 206
3684 3324 21
7451 3735 212
561 3668 605
8116 6269 901
1873 3897 503
1183 3132 826
2667 931 -487
6845 1436 -745
1008 7455 108
6629 4834 -660
3365 3391 -191
5987 2285 239
4304 1746 -201
2790 676 830
3015 6604 -291
4884 1024 -847
7473 4238 -876
7068 237 823
2003 2720 -626
4855 7775 -37
7954 6172 -128
7096 1733 -981
2123 1033 -439
2654 1182 521
910 2516 -603
7186 654 -111
7695 8294 221
4096 2363 33
1984 6104 251
4269 5301 434
4578 7518 230
4338 4822 -921
8166 5412 -77
4708 2823 -191
5816 5130 -687
4792 4990 -659
6365 4511 -560
4021 5609 948
4033 4225 554
4692 6233 983
2455 1956 -699
8243 1761 516
7344 727 -689
1282 4025 605
3933 1227 477
4700 4034 792
2425 5178 -487
7201 2291 -666
1847 5092 544
5789 5020 321
1337 4159 623
4788 3889 886
6189 6008 854
6326 1705 -304
6277 6574 331
5516 5727 -164
6131 5899 325
3943 2680 97
8130 7853 -1
6322 246 550
2820 1013 171
6995 2013 -350
3804 1969 -864
2792 5884 -930
2735 6999 -976
1846 6063 -277
348 6810 -120
6165 6588 -61
3526 4859 -345
2437 4238 507
7251 2769 789
5622 4279 393
4479 6423 723
6618 4965 -472
389 4505 559
2106 7674 834
8168 7651 -985
1577 4766 445
7010 3851 -526
2196 2038 -431
1109 1835 -974
4898 6662 150
7202 5920 -330
7982 2232 -647
445 1730 -318
1828 3864 -554
3539 6716 94
7949 2652 -37
6046 1215 924
1754 6465 -557
3068 7416 -912
4865 7477 -25
548 7606 713
5874 5480 234
5536 4202 -586
5428 7585 654
3338 6083 969
1886 2062 54
8322 4835 -723
7887 7854 14
1991 1132 -478
4374 5072 558
2653 7261 -21
115 2201 -151
4974 2328 -38
7950 51 742
5536 8170 730
3125 7900 -168
3183 8422 -407
6276 6867 342
3389 5987 -377
5343 1357 -467
7805 2170 674
8355 7497 819
8069 8118 -87
4460 2880 -436
7589 3748 -772
8297 7997 967
3672 1282 544
2086 7667 -635
2173 5753 206
1254 8328 -504
6825 59 -128
7111 4883 -512
4863 4543 -436
3671 1034 5
7810 1596 652
6838 3781 -571
810 8078 -151
4642 3567 150
7643 2756 -703
2268 4435 -292
3987 5448 -120
8135 5192 716
7395 5241 -358
1286 3567 342
975 485 -274
5062 2564 -423
6016 3397 215
6827 642 456
7950 2699 258
1381 2592 523
5180 7878 -949
4177 4117 983
1355 2191 256
4095 765 156
7942 2661 151
7285 7240 256
3674 1806 588
3073 3895 -329
4763 2442 -118
61 8350 263
263 7625 -913
1498 5374 541
4533 2086 107
2306 7431 196
5354 710 428
7995 6571 -514
6755 4031 -709
3719 4096 -578
1650 7106 -841
1717 2841 -729
6912 4069 -767
6319 3742 506
2256 7339 -169
1685 8132 909
5960 7408 121
7307 4481 899
4397 3254 822
7482 3399 -669
6139 4768 -672
3675 2118 977
3410 1760 189
7607 5196 -223
3325 4771 -904
2838 536 -326
3457 6011 429
1260 5499 -769
2109 4892 -372
650 3398 862
846 6574 -368
3639 2573 460
2484 1422 -972
8356 2620 -269
3259 2061 -589
2718 695 872
7179 4773 -458
1355 6245 388
3996 4278 490
3989 5882 929
1654 6863 -381
5498 5524 -576
4401 4129 49
378 5835 -998
3523 511 -352
6812 1356 900
2043 6386 346
4092 6818 -17
700 3771 602
2718 5070 437
3062 3251 267
8049 72 -332
1196 3873 770
7083 4672 9
4311 1205 -440
2354 3439 -195
1560 1311 -727
3034 6999 318
1567 2882 -819
3604 6077 723
4454 6213 854
7586 7136 763
2508 2687 454
879 1107 180
7273 6070 712
3197 7333 -200
2769 2072 266
6365 3111 547
5800 5512 -667
568 5651 -467
6132 4180 -428
6388 7458 951
5988 889 37
7446 7032 -624
8087 826 -562
4493 3060 488
6274 2536 -279
4428 6805 -174
756 5050 524
5359 6848 -833
7090 2841 166
7335 1533 -280
2580 4839 -276
8226 1703 73
1406 6396 304
7313 1265 -867
2237 5046 -59
1925 2649 -809
4674 2648 -676
6275 6023 927
3846 5315 704
7786 6836 519
746 8397 558
7316 7522 501
4411 5023 -757
2707 6474 881
5925 2082 -414
1921 8347 -245
5889 3225 -595
938 6554 -264
1530 1374 -43
136 3999 215
5644 6570 363
7116 6826 569
693 1823 582
5489 2725 518
5046 5816 -797
1692 3285 626
2269 870 689
7338 6476 839
8040 933 385
5954 7072 865
7806 7221 293
6221 2042 542
2208 5330 -529
222 1256 61
275 3499 41
5636 886 -714
8111 2341 -527
4591 3301 -966
4295 5870 225
410 3967 576
7070 8351 -964
1425 5513 -465
4715 2776 597
23 3724 -229
403 1763 -519
5928 7657 460
2370 1351 931
2152 3464 660
3098 2180 827
2091 3995 -59
3806 756 140
6125 4732 -488
4669 4709 191
4727 3011 -627
3459 2382 -56
7798 3377 -222
151 6274 19
385 2128 -591
6884 6289 35
3187 6449 967
1463 6749 -702
3704 4549 723
7915 2323 803
3745 883 739
7539 7145 592
3476 6314 501
6338 2844 -699
1345 1305 275
68 8343 338
1239 890 -367
3896 3968 833
4474 6177 229
1906 2416 -27
3050 5902 840
5702 7874 -27
5060 3041 90
1043 4351 667
6795 4421 539
215 2743 187
2084 4764 -137
1087 2946 -95
5908 1594 -968
1703 1839 -62
3609 5422 -972
1737 23 -700
4158 7261 2
4064 5370 -277
7011 6731 -424
2616 4842 -625
7971 7373 390
2873 4298 -659
539 6342 -273
7032 2909 -333
4256 3351 538
3610 6305 -204
6272 2360 120
4774 7139 381
114 142 -841
250 5471 -610
5893 4906 -536
4845 2999 12
17 3007 818
7250 3758 -409
8250 1577 -957
6831 7999 -496
3675 4433 4
4047 2533 213
6855 7682 -562
2250 6819 824
6242 4309 -864
5908 1283 -786
3747 111 -634
6657 5084 827
1095 7029 -541
5218 6190 578
7518 6054 -882
5467 4472 993
1841 2939 521
3812 4424 41
2456 2814 -571
3063 5473 682
14 1214 202
5606 7591 533
7774 8291 967
6379 7787 628
3257 3692 -188
1287 4795 -47
1280 1296 -215
2310 5211 -87
3285 6160 -287
6493 1981 493
3113 1721 -112
1837 2371 875
648 7765 463
3241 840 -904
7166 3829 769
6400 5654 -495
7214 861 -483
5699 3546 322
7082 1901 845
3327 3328 -395
2702 4222 79
8095 5868 -909
4991 6513 -266
1426 1960 857
6357 3757 -790
2473 3263 826
3652 1381 856
5267 2807 -598
61 2923 -857
517 6177 912
8396 6873 -562
2894 5830 -276
5965 2877 -932
734 5261 -185
6250 594 576
4430 6117 665
3566 6327 953
7119 5334 -418
8146 1545 458
1403 1124 -371
1458 5491 -116
1905 6320 -610
4316 6960 344
5166 6483 -132
293 5814 50
7413 5564 280
7490 6286 639
551 5473 -596
492 1845 265
1113 7880 -770
7860 6421 367
5217 8418 741
676 6518 325
3363 562 153
7181 4323 981
5270 3349 -851
8162 6337 403
3583 7577 71
3273 1321 166
7492 7875 -960
2773 2099 136
7371 6842 -661
1086 4864 -481
5648 4097 -576
6867 784 -508
3917 7551 -396
8162 1995 966
3945 4672 320
2900 7759 -547
1822 7150 -346
1235 5411 -360
318 616 167
463 7870 11
1548 7247 923
2573 1140 285
3378 1177 227
4258 6555 -952
5475 3807 -514
7849 3507 751
6794 4307 975
6161 534 -868
5569 4869 718
493 7279 944
2628 3748 -350
7727 4387 -704
144 4061 -836
4866 4477 -995
5524 59 -8
1109 3297 689
7295 8427 319
2679 3603 938
6135 2685 -921
3405 1827 356
4202 7598 677
1884 2661 329
6828 6339 390
6808 3634 705
3070 2612 464
3040 5127 -254
5364 4323 572
3706 8235 -995
408 1828 843
455 223 -315
6947 5633 -136
1506 4771 -140
1164 3294 -118
4182 1318 -125
7028 236 -118
8008 3111 -332
6935 4902 -803
3579 6059 751
349 6319 -6
602 6631 -383
4258 1632 226
7084 1000 158
2597 5359 486
5154 1215 116
1928 2485 -33
3461 6438 283
5893 1981 520
3666 7957 -23
4969 4542 396
4248 7665 -837
3236 4323 725
1473 8340 -194
5863 4854 -672
6231 3074 -368
3597 3528 685
1207 5745 786
5078 4966 -22
6257 8035 527
3877 1895 278
1424 5387 -116
68 6454 909
7210 1466 -51
5481 5537 243
2655 362 487
2306 633 487
4992 7787 -550
6894 1183 935
4342 5929 208
4492 7247 865
7964 7065 286
215 2527 951
8293 1380 882
2146 4122 -818
2061 2626 69
1942 3258 -120
810 2861 -309
5610 2093 493
4559 350 223
4555 761 -679
750 8379 -347
6721 7383 -872
542 5290 -646
3550 7755 -615
5637 7960 33
2429 5433 -408
7122 6736 -913
5326 1366 259
8444 3319 324
6079 8148 -760
6836 3188 -360
3016 8434 751
7760 8219 -121
684 1259 -720
630 7414 -849
6235 5133 399
1139 1205 -294
665 1059 200
325 2026 830
2257 1507 -537
5040 3802 -489
3556 2267 -356
7020 2737 -929
6934 145 -68
2958 632 784
4105 5254 229
2432 7144 785
6244 5624 375
5176 5267 -300
6982 553 -218
6826 5810 13
2304 7891 863
7412 1504 -770
6209 2490 -198
8313 1009 -95
1556 2843 889
2671 2113 -771
5339 3299 874
2610 3727 810
4953 919 -965
5858 8043 -854
527 5646 -539
4449 2070 97
2479 8259 -50
3213 3876 234
7734 7563 -820
5877 754 121
3458 5410 -607
966 2907 152
6593 2451 66
5183 4955 924
1808 5230 -35
5783 1252 -129
2498 7959 -828
6636 6252 -750
4934 2059 299
4807 5670 979
1277 7271 -265
8301 5288 -883
8301 2176 435
401 2222 61
4219 3144 716
5673 5998 310
2929 4076 407
3539 1720 831
7808 4760 -15
4450 6781 -454
3375 4988 -434
6950 5109 -566
7028 6791 752
7695 4429 -313
2951 3767 -569
8301 1723 -57
1309 5456 493
5687 4302 -330
2160 75 976
1174 8394 -329
3766 3312 202
8056 5304 -899
7397 1989 -496
3659 4603 117
1006 884 978
5826 5074 165
5719 2675 -152
4766 7329 638
6722 2096 990
6115 8374 509
7717 1246 -402
3380 3951 862
7105 3839 446
8122 6029 -611
6978 1121 -959
5930 2896 -100
4430 5011 453
799 157 -868
4686 2391 218
6682 5789 -602
2367 3790 162
1468 5883 198
5214 1618 -269
6447 4025 845
7181 6493 -615
1435 4700 -464
4406 3937 440
5960 5948 -725
1804 8131 391
5793 2782 -326
1026 4452 -690
1133 6592 396
4980 3075 435
2381 6014 484
7656 3918 330
5187 5215 -701
8328 671 -284
5695 6206 87
7143 3121 -485
6612 4707 851
8350 1429 -452
1729 4717 -396
6856 3319 -117
3691 2096 538
7696 7813 -622
2090 5938 -321
5664 1453 -7
361 1066 936
4814 6835 554
2425 2839 -318
7773 5299 685
2765 332 -874
5061 1085 -320
6046 146 881
3585 7918 899
5302 5396 -670
1814 8100 443
2518 5683 981
3879 7881 534
236 1386 -727
5083 4036 84
1541 5947 -769
919 2898 651
7980 4058 -641
6602 953 -993
750 677 526
3473 3725 -488
7224 4926 948
1933 7377 77
1871 5791 -261
3266 7272 610
2728 728 -654
6685 4750 348
6181 3619 -835
2633 143 946
910 4587 200
3626 4321 -328
5243 1769 428
5049 634 -972
7199 239 -879
6448 1295 173
5352 3676 517
4334 4350 881
5580 5097 -299
3557 1717 839
8253 7660 223
6670 3520 -30
7020 3015 -461
7804 158 596
1785 1335 146
1521 1997 -429
8175 7458 621
1782 2766 -292
854 6103 -878
7521 7443 86
6896 1374 593
2589 21 763
921 5642 470
6723 8142 -757
2090 3037 -356
3917 2698 -157
1496 8146 -972
8417 4975 443
1409 8340 -434
5349 6870 533
3456 4780 303
2260 4996 -219
3048 6297 -923
7717 2827 236
1387 2948 -155
1563 5336 682
5113 8281 -803
7244 688 -368
7330 8382 403
7104 5027 613
4350 4478 470
122 173 -322
6617 6412 101
6483 8293 -476
3123 1642 326
78 5076 266
436 3886 -143
5446 6330 -705
2394 8167 -251
6501 2538 164
3461 5840 224
6377 7093 -431
4780 6923 -248
6911 2302 -225
6338 269 846
7212 3239 19
4306 524 447
3128 8161 637
1514 6714 795
7898 4330 -66
4975 7784 -467
7524 2507 630
5983 2464 -337
5356 822 -549
6879 5513 12
1554 2955 -56
2267 2484 437
8089 4738 -849
3403 3866 475
3928 2888 -519
2508 8176 -559
5797 7319 -690
4258 6940 -612
5499 7459 987
3160 4970 -162
330 4 -91
1868 4558 100
6788 2311 577
6389 6294 -550
3867 392 -107
5539 3499 38
6328 1257 -674
4946 682 993
8136 7899 512
7140 3716 -901
1961 108 768
2617 7545 -925
3778 1494 358
53 4137 -418
5471 6842 996
7092 2994 -184
378 4107 -169
778 1071 -596
802 4484 -703
5052 2586 -185
1991 7312 -581
864 7935 430
2653 6030 -867
8146 4385 555
728 2445 448
8099 900 354
5745 4947 -516
7066 7626 -807
4001 3305 878
5811 3314 -225
638 6732 319
3267 3487 746
3599 8278 876
2857 8350 -81
2894 3594 -842
7695 7377 -994
6466 6506 -793
5417 6056 -927
1745 8353 -565
5731 5373 875
3550 2171 -816
5424 82 550
3616 5173 855
918 3059 -998
5752 8061 969
368 589 -699
3202 3888 -560
1358 1793 -770
1275 7209 -395
1043 2037 316
7811 6504 -435
3576 7536 963
149 8321 -134
3522 1324 311
1456 2355 -345
3499 2309 891
6365 1547 943
7738 213 624
6695 5394 -200
7789 7254 -582
2078 2534 313
4331 2182 856
4771 4570 321
149 2093 -333
5362 3920 -356
3420 2886 735
295 5060 -875
4303 1226 917
7524 2503 306
4542 3604 562
6230 2665 292
7454 6235 -491
3614 5652 -36
6039 8188 -534
7359 1407 -83
899 1249 129
3320 1000 347
6740 731 -428
6388 1682 243
7386 1345 -5
6020 83 292
3576 8081 -864
386 3130 -531
129 356 -883
7668 628 -482
6517 7483 -979
2236 3268 -29
8176 8125 726
707 128 -423
5226 4260 -641
3046 2544 -244
5982 3323 226
7724 4033 -646
5416 3228 -267
5451 5744 4
4128 1874 369
661 6173 -681
7341 621 468
7030 7142 376
5279 1759 -876
7117 3559 -619
7614 6324 -496
8044 4058 841
1977 1327 -556
8422 318 625
1144 5736 871
5435 5104 879
1808 184 163
2446 7983 447
8411 475 -901
3345 790 970
4700 5659 889
4712 5479 -725
3073 4696 -378
3473 2495 648
7369 3164 -231
2891 257 252
6636 287 432
1357 4089 79
6859 289 952
3095 4138 -673
7677 610 -352
6199 5063 289
1123 1375 251
2366 2967 502
8366 222 812
2955 5037 -32
2605 8383 -871
1589 4163 169
8151 4035 65
2911 5045 -763
7809 8374 845
6389 442 -150
6990 7114 234
6238 2888 912
2229 3718 -516
749 7856 343
5081 4435 567
2779 1720 -415
7970 2989 537
7491 4177 753
5489 2000 -522
7071 7898 -305
281 542 435
1351 7708 -410
7302 2379 644
1089 1186 600
2433 3481 470
6285 5095 169
2761 8081 2
4662 7454 -163
1702 1157 773
1249 6433 539
3344 674 407
1370 7654 999
7619 2260 471
7846 1870 551
683 4821 737
6860 1107 141
4293 1014 -261
8273 2108 -524
4684 3976 -543
3874 4414 -785
7148 4053 -464
8256 3740 103
6126 1370 853
2529 1356 543
7953 5168 -65
4466 755 605
7095 2996 -695
8011 3197 -724
1172 6337 -908
4948 506 -957
226 993 507
4108 31 -703
1602 3461 -142
7050 7612 198
4049 69 155
795 6281 -163
3608 1183 -309
7001 6392 339
3245 5280 606
1276 4428 -608
129 714 -697
7002 5519 957
1014 5545 -369
8339 3793 608
7701 6670 446
8323 187 -663
4724 6846 -282
6581 3975 -495
4194 912 -366
2072 6925 -310
2362 6205 -540
217 3050 521
6081 2089 859
6341 5598 -393
5572 3375 609
4347 846 -331
3476 4402 -59
3583 4923 663
941 4497 965
8087 2727 -330
3493 2886 628
6171 5551 887
1220 5748 406
3147 6763 -705
3356 2619 377
5507 215 -734
1302 5671 -928
5588 3965 9
477 7856 -511
5599 3991 506
1711 6261 765
2662 2431 883
5547 1049 259
4912 6728 604
2893 1617 793
7362 6798 943
2193 1265 -627
1549 950 262
5145 7598 543
4438 4156 -993
5165 4180 375
7068 2348 788
6564 7756 -471
7252 6979 -326
7528 727 -564
7728 1480 -498
732 3193 -308
160 3517 942
6245 2010 -419
4162 5552 74
2608 330 -481
650 2404 -691
244 3380 251
4189 4928 -572
2636 10 -123
7303 5475 -861
6995 2514 967
545 6472 883
7501 8149 959
2874 678 754
4146 4932 -117
1315 6616 -12
542 7162 788
633 3089 795
6612 8290 -957
3369 8317 500
7558 7096 -773
7711 1811 94
8145 7763 -407
3259 5514 -440
795 2856 47
2609 6187 -279
6931 2342 -782
7646 5417 913
4095 7083 415
4803 884 -962
4513 4768 322
6141 7260 -791
1031 7695 -29
5294 3320 624
1887 4469 -815
2388 6494 -705
6267 4575 520
4921 1977 -48
5173 3152 742
4015 1786 -512
2763 593 815
469 3976 -719
3948 6300 -887
4473 6860 -797
8152 1412 17
8332 6740 -610
1863 3595 -398
322 3673 -139
3969 4446 -36
117 4240 -599
1714 6889 432
5478 6592 617
3798 6601 -76
1419 3284 -863
5223 375 923
875 2683 557
17 7773 379
4308 6634 43
2276 7018 986
1029 6012 -857
3426 6900 764
5262 4045 -270
6944 4134 -697
2526 5688 -486
1278 79 535
5274 1398 753
4071 5531 -663
8151 967 -832
4370 7344 -953
550 7500 215
376 1077 280
4347 2041 418
8030 81 -469
8146 5944 722
3880 4168 -626
3861 5311 568
5517 6655 -558
6379 3405 606
1785 1600 -761
4519 3721 15
748 7485 216
6637 5627 -475
6030 2837 148
3499 6762 615
4175 8098 938
4234 3199 -647
5415 2278 102
2332 7800 -427
5059 854 749
5575 7819 -340
1053 1263 -45
6550 319 107
4017 6399 342
4587 7215 354
8167 4574 126
3832 1494 -959
1962 4171 869
5360 217 -678
4929 2643 331
732 1503 568
3820 8418 444
1666 3424 -342
548 4031 347
774 1789 -821
7811 304 -828
7311 7174 -84
181 5342 -556
3666 5485 366
658 3431 -583
1711 7106 158
1345 4151 -872
3759 1767 -953
3894 3002 784
4183 3687 -641
6645 4808 -653
528 111 -517
7334 4002 -722
68 6498 -455
5999 1463 32
4675 7212 878
3273 632 -195
5047 2618 -836
1835 192 140
7656 6776 -820
3841 7867 -51
1047 964 24
4837 5338 -718
8131 1412 856
4769 2989 -345
2027 4073 700
3413 1809 -45
5425 5471 -415
7884 7407 -811
